iso,country,records,deaths,deaths_reported,deaths_coverage_pct,affected,affected_reported,affected_coverage_pct,damage_usd,damage_usd_reported,damage_usd_coverage_pct,damage_adjusted_usd,damage_adjusted_usd_reported,damage_adjusted_usd_coverage_pct
MSR,Montserrat,1,,0,0.0,200.0,1,100.0,,0,0.0,,0,0.0
MTQ,Martinique,5,16.0,4,80.0,29308.0,4,80.0,344000000.0,2,40.0,523603000.0,2,40.0
MUS,Mauritius,8,20.0,6,75.0,136324.0,7,87.5,52000000.0,2,25.0,92255000.0,2,25.0
MWI,Malawi,69,5895.0,48,69.57,32994005.0,66,95.65,1304410000.0,5,7.25,1489701000.0,5,7.25
MYS,Malaysia,85,598.0,43,50.59,3619788.0,82,96.47,3386042000.0,13,15.29,4718718000.0,13,15.29
MYT,Mayotte,1,35.0,1,100.0,231373.0,1,100.0,752000000.0,1,100.0,771787000.0,1,100.0
NAM,Namibia,30,471.0,14,46.67,5034717.0,28,93.33,144490000.0,4,13.33,200680000.0,4,13.33
NCL,New Caledonia,3,2.0,1,33.33,1537.0,2,66.67,40000000.0,1,33.33,70003000.0,1,33.33
NER,Niger,71,4033.0,60,84.51,34686120.0,70,98.59,495839000.0,6,8.45,606832000.0,6,8.45
NGA,Nigeria,117,18431.0,96,82.05,36121912.0,101,86.32,5402922000.0,15,12.82,6168152000.0,15,12.82
NIC,Nicaragua,48,514.0,32,66.67,2810275.0,43,89.58,1105050000.0,8,16.67,1350833000.0,8,16.67
NIU,Niue,1,1.0,1,100.0,702.0,1,100.0,40000000.0,1,100.0,68178000.0,1,100.0
NLD,Netherlands (Kingdom of the),28,4370.0,17,60.71,5.0,2,7.14,2560431000.0,9,32.14,3560747000.0,9,32.14
NOR,Norway,14,145.0,8,57.14,4560.0,8,57.14,260000000.0,2,14.29,376019000.0,2,14.29
NPL,Nepal,92,21565.0,82,89.13,15338873.0,69,75.0,7910895000.0,15,16.3,8790950000.0,14,15.22
NZL,New Zealand,40,232.0,13,32.5,650018.0,32,80.0,35335600000.0,32,80.0,48751774000.0,32,80.0
OMN,Oman,16,210.0,14,87.5,32014.0,9,56.25,5252000000.0,6,37.5,8018479000.0,6,37.5
PAK,Pakistan,174,90221.0,164,94.25,102958684.0,122,70.11,45397648000.0,27,15.52,60021087000.0,26,14.94
PAN,Panama,43,239.0,24,55.81,240110.0,39,90.7,413800000.0,9,20.93,527907000.0,9,20.93
PER,Peru,118,4401.0,84,71.19,11998918.0,106,89.83,5431050000.0,12,10.17,7114741000.0,12,10.17
PHL,Philippines,406,28247.0,313,77.09,258372614.0,395,97.29,27170976920.0,233,57.39,34691985000.0,230,56.65
PLW,Palau,5,,0,0.0,22862.0,4,80.0,,0,0.0,,0,0.0
PNG,Papua New Guinea,61,1690.0,37,60.66,4021662.0,49,80.33,208000000.0,4,6.56,259146000.0,4,6.56
POL,Poland,53,5800.0,45,84.91,196009.0,23,43.4,4467812000.0,10,18.87,6730851000.0,10,18.87
PRI,Puerto Rico,22,106.0,12,54.55,773384.0,9,40.91,72272820000.0,10,45.45,94488552000.0,10,45.45
PRK,Democratic People's Republic of Korea,36,2420.0,23,63.89,41448428.0,35,97.22,6455940000.0,10,27.78,11901447000.0,10,27.78
PRT,Portugal,42,8409.0,31,73.81,205377.0,21,50.0,7862636000.0,10,23.81,12274096000.0,10,23.81
PRY,Paraguay,44,204.0,17,38.64,3405750.0,39,88.64,61820000.0,5,11.36,90775000.0,5,11.36
PSE,State of Palestine,9,35.0,6,66.67,364141.0,9,100.0,,0,0.0,,0,0.0
PYF,French Polynesia,2,1.0,1,50.0,8415.0,2,100.0,13000000.0,2,100.0,18868000.0,2,100.0
QAT,Qatar,1,,0,0.0,1500.0,1,100.0,10000000.0,1,100.0,12821000.0,1,100.0
REU,Réunion,10,14.0,5,50.0,187574.0,10,100.0,1035000000.0,3,30.0,1105084000.0,3,30.0
ROU,Romania,74,12189.0,61,82.43,329556.0,52,70.27,3263518000.0,13,17.57,5304642000.0,13,17.57
RUS,Russian Federation,128,58323.0,64,50.0,4176126.0,97,75.78,10381160000.0,53,41.41,15217177000.0,52,40.62
RWA,Rwanda,43,912.0,37,86.05,1240562.0,37,86.05,72009000.0,5,11.63,92325000.0,5,11.63
SAU,Saudi Arabia,27,1896.0,26,96.3,31524.0,19,70.37,1252000000.0,4,14.81,1849736000.0,4,14.81
SCG,Serbia Montenegro,12,11.0,5,41.67,65130.0,11,91.67,,0,0.0,,0,0.0
SDN,Sudan,66,7003.0,52,78.79,23052949.0,60,90.91,753000000.0,6,9.09,1123122000.0,6,9.09
SEN,Senegal,28,447.0,17,60.71,3091527.0,27,96.43,68979000.0,3,10.71,109758000.0,3,10.71
SGP,Singapore,2,2.0,1,50.0,15073.0,2,100.0,,0,0.0,,0,0.0
SHN,Saint Helena,1,,0,0.0,300.0,1,100.0,,0,0.0,,0,0.0
SLB,Solomon Islands,23,220.0,10,43.48,687417.0,21,91.3,30000000.0,4,17.39,40883000.0,4,17.39
SLE,Sierra Leone,24,5858.0,17,70.83,161526.0,21,87.5,30000000.0,1,4.17,39402000.0,1,4.17
SLV,El Salvador,51,2135.0,37,72.55,3930581.0,42,82.35,4586600000.0,12,23.53,7374082000.0,12,23.53
SOM,Somalia,82,24106.0,55,67.07,43327356.0,71,86.59,1175020000.0,5,6.1,1455608000.0,5,6.1
SPI,Canary Islands,8,58.0,6,75.0,8136.0,5,62.5,1454923000.0,3,37.5,1949357000.0,3,37.5
SRB,Serbia,35,3651.0,16,45.71,247064.0,25,71.43,2308522000.0,4,11.43,3149720000.0,4,11.43
SSD,South Sudan,30,2097.0,17,56.67,23046070.0,28,93.33,,0,0.0,,0,0.0
STP,Sao Tome and Principe,3,33.0,2,66.67,222204.0,3,100.0,,0,0.0,,0,0.0
SUR,Suriname,4,5.0,2,50.0,50648.0,4,100.0,21000000.0,1,25.0,23102000.0,1,25.0
SVK,Slovakia,26,1345.0,20,76.92,11843.0,7,26.92,584000000.0,6,23.08,986158000.0,6,23.08
SVN,Slovenia,18,904.0,13,72.22,1574678.0,9,50.0,4029072000.0,8,44.44,4616442000.0,8,44.44
SWE,Sweden,13,183.0,8,61.54,13850.0,2,15.38,2972000000.0,3,23.08,4829809000.0,3,23.08
SWZ,Eswatini,14,46.0,4,28.57,2660592.0,13,92.86,50000.0,1,7.14,93000.0,1,7.14
SXM,Sint Maarten (Dutch part),1,4.0,1,100.0,5040.0,1,100.0,2500000000.0,1,100.0,3283529000.0,1,100.0
SYC,Seychelles,6,3.0,1,16.67,24779.0,6,100.0,39300000.0,2,33.33,63986000.0,2,33.33
SYR,Syrian Arab Republic,26,5908.0,15,57.69,32894866.0,24,92.31,8950000000.0,2,7.69,9453598000.0,2,7.69
TCA,Turks and Caicos Islands,5,4.0,1,20.0,1700.0,3,60.0,1000000000.0,2,40.0,1404359000.0,2,40.0
TCD,Chad,45,3707.0,34,75.56,13487827.0,43,95.56,391000000.0,3,6.67,405839000.0,3,6.67
TGO,Togo,18,547.0,13,72.22,408316.0,17,94.44,,0,0.0,,0,0.0
THA,Thailand,136,11668.0,91,66.91,87736847.0,123,90.44,65534774000.0,45,33.09,86585371000.0,45,33.09
TJK,Tajikistan,61,371.0,35,57.38,6421016.0,54,88.52,1268930000.0,17,27.87,1940161000.0,17,27.87
TKL,Tokelau,1,,0,0.0,26.0,1,100.0,,0,0.0,,0,0.0
TKM,Turkmenistan,1,11.0,1,100.0,,0,0.0,,0,0.0,,0,0.0
TLS,Timor-Leste,13,93.0,8,61.54,289925.0,12,92.31,24000000.0,2,15.38,30312000.0,2,15.38
TON,Tonga,14,17.0,4,28.57,225690.0,10,71.43,323800000.0,6,42.86,421867000.0,6,42.86
TTO,Trinidad and Tobago,7,5.0,3,42.86,251760.0,4,57.14,4700000.0,2,28.57,6448000.0,2,28.57
TUN,Tunisia,11,62.0,8,72.73,140508.0,10,90.91,36000000.0,1,9.09,46155000.0,1,9.09
TUR,Türkiye,94,54801.0,76,80.85,17616832.0,78,82.98,41312000000.0,23,24.47,45244167000.0,23,24.47
TUV,Tuvalu,4,,0,0.0,20317.0,3,75.0,,0,0.0,,0,0.0
TWN,Taiwan (Province of China),75,1618.0,62,82.67,3040604.0,54,72.0,9751990000.0,54,72.0,12908436000.0,54,72.0
TZA,United Republic of Tanzania,84,1737.0,63,75.0,14802135.0,73,86.9,645000000.0,3,3.57,806944000.0,3,3.57
UGA,Uganda,88,4934.0,74,84.09,5374569.0,85,96.59,5871000.0,3,3.41,8016000.0,3,3.41
UKR,Ukraine,31,1213.0,22,70.97,848623.0,23,74.19,3542616000.0,12,38.71,5095691000.0,12,38.71
URY,Uruguay,33,42.0,10,30.3,816440.0,30,90.91,573000000.0,4,12.12,759689000.0,4,12.12
